review_group,supplier_code,source_page,normalized_material_code,description,unit,unit_price,currency,product_family,rated_current,breaking_capacity,pole,source_evidence_text,provenance,review_question,suggested_review_action,human_decision,human_note
LS_PAGE_LIMITATION,LS,5,AN-06D3-06H,MCCB/ELCB/Contactor LS AN-06D3-06H AH6 In=630A 65,cái,58500000,VND,MCCB/ELCB/Contactor LS,630A 65,,3P,"AN-06D3-06H AH6 630A 65 58,500,000","Source PDF: Bang gia LS ap dung ngay 15-04-2026.pdf, Page: 5, Layout: split_half_left_right, Method: coordinate_column_profiler",Kiểm tra xem mã phụ kiện và tên mô tả phụ kiện có bị cắt dính chữ không?,Đối chiếu với bản cứng PDF Trang 5,PENDING,
LS_PAGE_LIMITATION,LS,5,AN-06D3-06H,MCCB/ELCB/Contactor LS AN-06D3-06H NH5 without In=ACC 630A 65,cái,40000000,VND,MCCB/ELCB/Contactor LS,ACC 630A 65,,3P,"AN-06D3-06H NH5 without ACC 630A 65 40,000,000","Source PDF: Bang gia LS ap dung ngay 15-04-2026.pdf, Page: 5, Layout: split_half_left_right, Method: coordinate_column_profiler",Kiểm tra xem mã phụ kiện và tên mô tả phụ kiện có bị cắt dính chữ không?,Đối chiếu với bản cứng PDF Trang 5,PENDING,
LS_PAGE_LIMITATION,LS,5,AN-08D3-08H,MCCB/ELCB/Contactor LS AN-08D3-08H AH6 In=800A 65,cái,62800000,VND,MCCB/ELCB/Contactor LS,800A 65,,3P,"AN-08D3-08H AH6 800A 65 62,800,000","Source PDF: Bang gia LS ap dung ngay 15-04-2026.pdf, Page: 5, Layout: split_half_left_right, Method: coordinate_column_profiler",Kiểm tra xem mã phụ kiện và tên mô tả phụ kiện có bị cắt dính chữ không?,Đối chiếu với bản cứng PDF Trang 5,PENDING,
LS_PAGE_LIMITATION,LS,5,AN-08D3-08H,MCCB/ELCB/Contactor LS AN-08D3-08H NH5 without In=ACC 800A 65,cái,46500000,VND,MCCB/ELCB/Contactor LS,ACC 800A 65,,3P,"AN-08D3-08H NH5 without ACC 800A 65 46,500,000","Source PDF: Bang gia LS ap dung ngay 15-04-2026.pdf, Page: 5, Layout: split_half_left_right, Method: coordinate_column_profiler",Kiểm tra xem mã phụ kiện và tên mô tả phụ kiện có bị cắt dính chữ không?,Đối chiếu với bản cứng PDF Trang 5,PENDING,
LS_PAGE_LIMITATION,LS,5,AN-10D3-10H,MCCB/ELCB/Contactor LS AN-10D3-10H AH6 In=1000A 65,cái,64500000,VND,MCCB/ELCB/Contactor LS,1000A 65,,3P,"AN-10D3-10H AH6 1000A 65 64,500,000","Source PDF: Bang gia LS ap dung ngay 15-04-2026.pdf, Page: 5, Layout: split_half_left_right, Method: coordinate_column_profiler",Kiểm tra xem mã phụ kiện và tên mô tả phụ kiện có bị cắt dính chữ không?,Đối chiếu với bản cứng PDF Trang 5,PENDING,
LS_PAGE_LIMITATION,LS,5,AN-10D3-10H,MCCB/ELCB/Contactor LS AN-10D3-10H NH5 without In=ACC 1000A 65,cái,48000000,VND,MCCB/ELCB/Contactor LS,ACC 1000A 65,,3P,"AN-10D3-10H NH5 without ACC 1000A 65 48,000,000","Source PDF: Bang gia LS ap dung ngay 15-04-2026.pdf, Page: 5, Layout: split_half_left_right, Method: coordinate_column_profiler",Kiểm tra xem mã phụ kiện và tên mô tả phụ kiện có bị cắt dính chữ không?,Đối chiếu với bản cứng PDF Trang 5,PENDING,
LS_PAGE_LIMITATION,LS,5,AN-13D3-13H,MCCB/ELCB/Contactor LS AN-13D3-13H AH6 In=1250A 65,cái,67500000,VND,MCCB/ELCB/Contactor LS,1250A 65,,3P,"AN-13D3-13H AH6 1250A 65 67,500,000","Source PDF: Bang gia LS ap dung ngay 15-04-2026.pdf, Page: 5, Layout: split_half_left_right, Method: coordinate_column_profiler",Kiểm tra xem mã phụ kiện và tên mô tả phụ kiện có bị cắt dính chữ không?,Đối chiếu với bản cứng PDF Trang 5,PENDING,
LS_PAGE_LIMITATION,LS,5,AN-13D3-13H,MCCB/ELCB/Contactor LS AN-13D3-13H NH5 without In=ACC 1250A 65,cái,51600000,VND,MCCB/ELCB/Contactor LS,ACC 1250A 65,,3P,"AN-13D3-13H NH5 without ACC 1250A 65 51,600,000","Source PDF: Bang gia LS ap dung ngay 15-04-2026.pdf, Page: 5, Layout: split_half_left_right, Method: coordinate_column_profiler",Kiểm tra xem mã phụ kiện và tên mô tả phụ kiện có bị cắt dính chữ không?,Đối chiếu với bản cứng PDF Trang 5,PENDING,
LS_PAGE_LIMITATION,LS,5,AN-16D3-16H,MCCB/ELCB/Contactor LS AN-16D3-16H AH6 In=1600A 65,cái,71800000,VND,MCCB/ELCB/Contactor LS,1600A 65,,3P,"AN-16D3-16H AH6 1600A 65 71,800,000","Source PDF: Bang gia LS ap dung ngay 15-04-2026.pdf, Page: 5, Layout: split_half_left_right, Method: coordinate_column_profiler",Kiểm tra xem mã phụ kiện và tên mô tả phụ kiện có bị cắt dính chữ không?,Đối chiếu với bản cứng PDF Trang 5,PENDING,
LS_PAGE_LIMITATION,LS,5,AN-16D3-16H,MCCB/ELCB/Contactor LS AN-16D3-16H NH5 without In=ACC 1600A 65,cái,58500000,VND,MCCB/ELCB/Contactor LS,ACC 1600A 65,,3P,"AN-16D3-16H NH5 without ACC 1600A 65 58,500,000","Source PDF: Bang gia LS ap dung ngay 15-04-2026.pdf, Page: 5, Layout: split_half_left_right, Method: coordinate_column_profiler",Kiểm tra xem mã phụ kiện và tên mô tả phụ kiện có bị cắt dính chữ không?,Đối chiếu với bản cứng PDF Trang 5,PENDING,
CHINT_PAGE_LIMITATION,CHINT,3,NXM-63S,MCCB Chint NXM-63S 3P 25÷63 25,cái,800000,VND,MCCB Chint,25÷63,25,3P,"25÷63 25 NXM-63S 800,000","Source PDF: Bảng giá Chint 1-3-2023 ck 50.pdf, Page: 3, Layout: chint_mccb_nxm_nm1, Method: coordinate_column_profiler",Kiểm tra xem dòng bóc tách thiết bị rơ le hoặc MCCB đã đúng thông số chưa?,Đối chiếu với bản cứng PDF Trang 3,PENDING,
CHINT_PAGE_LIMITATION,CHINT,3,NXM-125S,MCCB Chint NXM-125S 3P 80÷125 25,cái,860000,VND,MCCB Chint,80÷125,25,3P,"80 ÷ 125 25 NXM-125S 860,000","Source PDF: Bảng giá Chint 1-3-2023 ck 50.pdf, Page: 3, Layout: chint_mccb_nxm_nm1, Method: coordinate_column_profiler",Kiểm tra xem dòng bóc tách thiết bị rơ le hoặc MCCB đã đúng thông số chưa?,Đối chiếu với bản cứng PDF Trang 3,PENDING,
CHINT_PAGE_LIMITATION,CHINT,3,NXM-250S,"MCCB Chint NXM-250S 3P 160,200,250 35",cái,1400000,VND,MCCB Chint,"160,200,250",35,3P,"160,200,250 35 NXM-250S 1,400,000","Source PDF: Bảng giá Chint 1-3-2023 ck 50.pdf, Page: 3, Layout: chint_mccb_nxm_nm1, Method: coordinate_column_profiler",Kiểm tra xem dòng bóc tách thiết bị rơ le hoặc MCCB đã đúng thông số chưa?,Đối chiếu với bản cứng PDF Trang 3,PENDING,
CHINT_PAGE_LIMITATION,CHINT,3,NXM-400S,"MCCB Chint NXM-400S 3P 315,350,400 50",cái,4200000,VND,MCCB Chint,"315,350,400",50,3P,"315,350,400 50 NXM-400S 4,200,000","Source PDF: Bảng giá Chint 1-3-2023 ck 50.pdf, Page: 3, Layout: chint_mccb_nxm_nm1, Method: coordinate_column_profiler",Kiểm tra xem dòng bóc tách thiết bị rơ le hoặc MCCB đã đúng thông số chưa?,Đối chiếu với bản cứng PDF Trang 3,PENDING,
CHINT_PAGE_LIMITATION,CHINT,3,NXM-630S,"MCCB Chint NXM-630S 3P 500,630 50",cái,6200000,VND,MCCB Chint,"500,630",50,3P,"500,630 50 NXM-630S 6,200,000","Source PDF: Bảng giá Chint 1-3-2023 ck 50.pdf, Page: 3, Layout: chint_mccb_nxm_nm1, Method: coordinate_column_profiler",Kiểm tra xem dòng bóc tách thiết bị rơ le hoặc MCCB đã đúng thông số chưa?,Đối chiếu với bản cứng PDF Trang 3,PENDING,
CHINT_PAGE_LIMITATION,CHINT,3,NXM-800S,MCCB Chint NXM-800S 3P 800 50,cái,10000000,VND,MCCB Chint,800,50,3P,"800 50 NXM-800S 10,000,000","Source PDF: Bảng giá Chint 1-3-2023 ck 50.pdf, Page: 3, Layout: chint_mccb_nxm_nm1, Method: coordinate_column_profiler",Kiểm tra xem dòng bóc tách thiết bị rơ le hoặc MCCB đã đúng thông số chưa?,Đối chiếu với bản cứng PDF Trang 3,PENDING,
CHINT_PAGE_LIMITATION,CHINT,3,NXM-1000S,MCCB Chint NXM-1000S 3P 1000 50,cái,16200000,VND,MCCB Chint,1000,50,3P,"1000 50 NXM-1000S 16,200,000","Source PDF: Bảng giá Chint 1-3-2023 ck 50.pdf, Page: 3, Layout: chint_mccb_nxm_nm1, Method: coordinate_column_profiler",Kiểm tra xem dòng bóc tách thiết bị rơ le hoặc MCCB đã đúng thông số chưa?,Đối chiếu với bản cứng PDF Trang 3,PENDING,
CHINT_PAGE_LIMITATION,CHINT,3,NXM-1600H,"MCCB Chint NXM-1600H 3P 1250,1600 70",cái,30000000,VND,MCCB Chint,"1250,1600",70,3P,"1250,1600 70 NXM-1600H 30,000,000","Source PDF: Bảng giá Chint 1-3-2023 ck 50.pdf, Page: 3, Layout: chint_mccb_nxm_nm1, Method: coordinate_column_profiler",Kiểm tra xem dòng bóc tách thiết bị rơ le hoặc MCCB đã đúng thông số chưa?,Đối chiếu với bản cứng PDF Trang 3,PENDING,
CHINT_PAGE_LIMITATION,CHINT,3,NM1-125C,MCCB Chint NM1-125C 3P 25÷63 20,cái,800000,VND,MCCB Chint,25÷63,20,3P,"25 ÷ 63 20 NM1-125C 800,000","Source PDF: Bảng giá Chint 1-3-2023 ck 50.pdf, Page: 3, Layout: chint_mccb_nxm_nm1, Method: coordinate_column_profiler",Kiểm tra xem dòng bóc tách thiết bị rơ le hoặc MCCB đã đúng thông số chưa?,Đối chiếu với bản cứng PDF Trang 3,PENDING,
CHINT_PAGE_LIMITATION,CHINT,3,NM1-125C,MCCB Chint NM1-125C 3P 80÷125 20,cái,860000,VND,MCCB Chint,80÷125,20,3P,"80 ÷ 125 20 NM1-125C 860,000","Source PDF: Bảng giá Chint 1-3-2023 ck 50.pdf, Page: 3, Layout: chint_mccb_nxm_nm1, Method: coordinate_column_profiler",Kiểm tra xem dòng bóc tách thiết bị rơ le hoặc MCCB đã đúng thông số chưa?,Đối chiếu với bản cứng PDF Trang 3,PENDING,
CHINT_PAGE_LIMITATION,CHINT,5,NXR-25,"Rơ le nhiệt Chint NXR-25 3P 1-1.6,1.25-2,1.6-2.5,2.5-4,4-6,5.5-8,7-10",cái,240000,VND,Rơ le nhiệt Chint,"1-1.6,1.25-2,1.6-2.5,2.5-4,4-6,5.5-8,7-10",,3P,"1-1.6, 1.25-2, 1.6-2.5, 2.5-4, 4-6, 5.5-8, 7-10 NXC-06/38 NXR-25 240,000","Source PDF: Bảng giá Chint 1-3-2023 ck 50.pdf, Page: 5, Layout: chint_thermal_relay_nxr, Method: coordinate_column_profiler",Kiểm tra xem dòng bóc tách thiết bị rơ le hoặc MCCB đã đúng thông số chưa?,Đối chiếu với bản cứng PDF Trang 5,PENDING,
CHINT_PAGE_LIMITATION,CHINT,5,NXR-38,"Rơ le nhiệt Chint NXR-38 3P 23-32,30-38",cái,320000,VND,Rơ le nhiệt Chint,"23-32,30-38",,3P,"23-32, 30-38 NXC-25/38 NXR-38 320,000","Source PDF: Bảng giá Chint 1-3-2023 ck 50.pdf, Page: 5, Layout: chint_thermal_relay_nxr, Method: coordinate_column_profiler",Kiểm tra xem dòng bóc tách thiết bị rơ le hoặc MCCB đã đúng thông số chưa?,Đối chiếu với bản cứng PDF Trang 5,PENDING,
CHINT_PAGE_LIMITATION,CHINT,5,NXR-100,"Rơ le nhiệt Chint NXR-100 3P 63-80,80-93",cái,540000,VND,Rơ le nhiệt Chint,"63-80,80-93",,3P,"63-80, 80-93 NXC-40/100 NXR-100 540,000","Source PDF: Bảng giá Chint 1-3-2023 ck 50.pdf, Page: 5, Layout: chint_thermal_relay_nxr, Method: coordinate_column_profiler",Kiểm tra xem dòng bóc tách thiết bị rơ le hoặc MCCB đã đúng thông số chưa?,Đối chiếu với bản cứng PDF Trang 5,PENDING,
CHINT_PAGE_LIMITATION,CHINT,5,F4-11,Rơ le nhiệt Chint F4-11 3P 1NO+1NC,cái,44000,VND,Rơ le nhiệt Chint,1NO+1NC,,3P,"1NO+1NC F4-11 44,000","Source PDF: Bảng giá Chint 1-3-2023 ck 50.pdf, Page: 5, Layout: chint_thermal_relay_nxr, Method: coordinate_column_profiler",Kiểm tra xem dòng bóc tách thiết bị rơ le hoặc MCCB đã đúng thông số chưa?,Đối chiếu với bản cứng PDF Trang 5,PENDING,
CHINT_PAGE_LIMITATION,CHINT,5,F4-22,Rơ le nhiệt Chint F4-22 3P 2NO+2NC,cái,84000,VND,Rơ le nhiệt Chint,2NO+2NC,,3P,"2NO+2NC F4-22 84,000","Source PDF: Bảng giá Chint 1-3-2023 ck 50.pdf, Page: 5, Layout: chint_thermal_relay_nxr, Method: coordinate_column_profiler",Kiểm tra xem dòng bóc tách thiết bị rơ le hoặc MCCB đã đúng thông số chưa?,Đối chiếu với bản cứng PDF Trang 5,PENDING,
CHINT_PAGE_LIMITATION,CHINT,5,F5-T2,Rơ le nhiệt Chint F5-T2 3P on-delay:0.1~30s,cái,480000,VND,Rơ le nhiệt Chint,on-delay:0.1~30s,,3P,"on-delay: 0.1 ~ 30s F5-T2 480,000","Source PDF: Bảng giá Chint 1-3-2023 ck 50.pdf, Page: 5, Layout: chint_thermal_relay_nxr, Method: coordinate_column_profiler",Kiểm tra xem dòng bóc tách thiết bị rơ le hoặc MCCB đã đúng thông số chưa?,Đối chiếu với bản cứng PDF Trang 5,PENDING,
CHINT_PAGE_LIMITATION,CHINT,5,F5-D2,Rơ le nhiệt Chint F5-D2 3P off-delay:0.1~,cái,480000,VND,Rơ le nhiệt Chint,off-delay:0.1~,,3P,"off-delay: 0.1 ~ 30s F5-D2 480,000","Source PDF: Bảng giá Chint 1-3-2023 ck 50.pdf, Page: 5, Layout: chint_thermal_relay_nxr, Method: coordinate_column_profiler",Kiểm tra xem dòng bóc tách thiết bị rơ le hoặc MCCB đã đúng thông số chưa?,Đối chiếu với bản cứng PDF Trang 5,PENDING,
ABB_LARGE_PRICE,ABB,18,1SDA068065R1,MCCB/ACB Tmax/Emax XT3N 4P 200A 36KA,cái,11236800,VND,MCCB/ACB Tmax/Emax,200,36KA,4P,"XT3N 200 1SDA068058R1 8,642,400 1SDA068065R1 11,236,800","Source PDF: original.pdf, Page: 18, Layout: double_column_3p_4p, Method: coordinate_column_profiler",Kiểm tra xem giá trị tiền hàng tỷ lệ lớn của ACB Emax2 có chính xác?,Xác minh đơn vị tiền tệ và số chữ số không.,PENDING,
ABB_LARGE_PRICE,ABB,18,1SDA068066R1,MCCB/ACB Tmax/Emax XT3N 4P 250A 36KA,cái,12177600,VND,MCCB/ACB Tmax/Emax,250,36KA,4P,"250 1SDA068059R1 9,364,800 1SDA068066R1 12,177,600","Source PDF: original.pdf, Page: 18, Layout: double_column_3p_4p, Method: coordinate_column_profiler",Kiểm tra xem giá trị tiền hàng tỷ lệ lớn của ACB Emax2 có chính xác?,Xác minh đơn vị tiền tệ và số chữ số không.,PENDING,
ABB_LARGE_PRICE,ABB,18,1SDA054117R1,MCCB/ACB Tmax/Emax T4N 3P 320A 36KA,cái,16564800,VND,MCCB/ACB Tmax/Emax,320,36KA,3P,"T4N 320 1SDA054117R1 16,564,800 1SDA054121R1 23,188,800","Source PDF: original.pdf, Page: 18, Layout: double_column_3p_4p, Method: coordinate_column_profiler",Kiểm tra xem giá trị tiền hàng tỷ lệ lớn của ACB Emax2 có chính xác?,Xác minh đơn vị tiền tệ và số chữ số không.,PENDING,
ABB_LARGE_PRICE,ABB,18,1SDA054121R1,MCCB/ACB Tmax/Emax T4N 4P 320A 36KA,cái,23188800,VND,MCCB/ACB Tmax/Emax,320,36KA,4P,"T4N 320 1SDA054117R1 16,564,800 1SDA054121R1 23,188,800","Source PDF: original.pdf, Page: 18, Layout: double_column_3p_4p, Method: coordinate_column_profiler",Kiểm tra xem giá trị tiền hàng tỷ lệ lớn của ACB Emax2 có chính xác?,Xác minh đơn vị tiền tệ và số chữ số không.,PENDING,
ABB_LARGE_PRICE,ABB,18,1SDA054317R1,MCCB/ACB Tmax/Emax T5N 3P 400A 36KA,cái,17500800,VND,MCCB/ACB Tmax/Emax,400,36KA,3P,"T5N 400 1SDA054317R1 17,500,800 1SDA054325R1 22,752,000","Source PDF: original.pdf, Page: 18, Layout: double_column_3p_4p, Method: coordinate_column_profiler",Kiểm tra xem giá trị tiền hàng tỷ lệ lớn của ACB Emax2 có chính xác?,Xác minh đơn vị tiền tệ và số chữ số không.,PENDING,
ABB_LARGE_PRICE,ABB,18,1SDA054325R1,MCCB/ACB Tmax/Emax T5N 4P 400A 36KA,cái,22752000,VND,MCCB/ACB Tmax/Emax,400,36KA,4P,"T5N 400 1SDA054317R1 17,500,800 1SDA054325R1 22,752,000","Source PDF: original.pdf, Page: 18, Layout: double_column_3p_4p, Method: coordinate_column_profiler",Kiểm tra xem giá trị tiền hàng tỷ lệ lớn của ACB Emax2 có chính xác?,Xác minh đơn vị tiền tệ và số chữ số không.,PENDING,
ABB_LARGE_PRICE,ABB,18,1SDA054396R1,MCCB/ACB Tmax/Emax T5N 3P 630A 36KA,cái,28274400,VND,MCCB/ACB Tmax/Emax,630,36KA,3P,"630 1SDA054396R1 28,274,400 1SDA054400R1 36,756,000","Source PDF: original.pdf, Page: 18, Layout: double_column_3p_4p, Method: coordinate_column_profiler",Kiểm tra xem giá trị tiền hàng tỷ lệ lớn của ACB Emax2 có chính xác?,Xác minh đơn vị tiền tệ và số chữ số không.,PENDING,
ABB_LARGE_PRICE,ABB,18,1SDA054400R1,MCCB/ACB Tmax/Emax T5N 4P 630A 36KA,cái,36756000,VND,MCCB/ACB Tmax/Emax,630,36KA,4P,"630 1SDA054396R1 28,274,400 1SDA054400R1 36,756,000","Source PDF: original.pdf, Page: 18, Layout: double_column_3p_4p, Method: coordinate_column_profiler",Kiểm tra xem giá trị tiền hàng tỷ lệ lớn của ACB Emax2 có chính xác?,Xác minh đơn vị tiền tệ và số chữ số không.,PENDING,
ABB_LARGE_PRICE,ABB,19,1SDA067580R1,MCCB/ACB Tmax/Emax XT2S 4P 125A 50KA,cái,12540000,VND,MCCB/ACB Tmax/Emax,125,50KA,4P,"125 1SDA067559R1 9,648,000 1SDA067580R1 12,540,000","Source PDF: original.pdf, Page: 19, Layout: double_column_3p_4p, Method: coordinate_column_profiler",Kiểm tra xem giá trị tiền hàng tỷ lệ lớn của ACB Emax2 có chính xác?,Xác minh đơn vị tiền tệ và số chữ số không.,PENDING,
ABB_LARGE_PRICE,ABB,19,1SDA067560R1,MCCB/ACB Tmax/Emax XT2S 3P 160A 50KA,cái,12240000,VND,MCCB/ACB Tmax/Emax,160,50KA,3P,"160 1SDA067560R1 12,240,000 1SDA067581R1 15,909,600","Source PDF: original.pdf, Page: 19, Layout: double_column_3p_4p, Method: coordinate_column_profiler",Kiểm tra xem giá trị tiền hàng tỷ lệ lớn của ACB Emax2 có chính xác?,Xác minh đơn vị tiền tệ và số chữ số không.,PENDING,
LS_REGRESSION_PROTECTION,LS,1,ABN104C,"MCCB/ELCB/Contactor LS ABN104c In=15,20,30,40,50,60,75,100A Icu=22",cái,1850000,VND,MCCB/ELCB/Contactor LS,"15,20,30,40,50,60,75,100A",22,3P,"ABN104c 15,20,30,40,50,60,75,100A 22 1,850,000","Source PDF: Bang gia LS ap dung ngay 15-04-2026.pdf, Page: 1, Layout: split_half_left_right, Method: coordinate_column_profiler",Kiểm tra xem đơn giá của thiết bị chính có bị dính ampere list hay không?,Xác nhận đơn giá đúng baseline.,PENDING,
LS_REGRESSION_PROTECTION,LS,1,ABS203C,"MCCB LS ABS203c In=125,150,175,200,225,250A Icu=42",cái,3350000,VND,MCCB LS,"125,150,175,200,225,250A",42,4P,"ABS203c 125,150,175,200,225,250A 42 3,350,000","Source PDF: Bang gia LS ap dung ngay 15-04-2026.pdf, Page: 1, Layout: split_half_left_right, Method: coordinate_column_profiler",Kiểm tra xem đơn giá của thiết bị chính có bị dính ampere list hay không?,Xác nhận đơn giá đúng baseline.,PENDING,
LS_REGRESSION_PROTECTION,LS,5,AS-25E3-25H,MCCB/ELCB/Contactor LS AS-25E3-25H AH6 In=2500A 85,cái,135000000,VND,MCCB/ELCB/Contactor LS,2500A 85,,3P,"AS-25E3-25H AH6 2500A 85 135,000,000","Source PDF: Bang gia LS ap dung ngay 15-04-2026.pdf, Page: 5, Layout: split_half_left_right, Method: coordinate_column_profiler",Kiểm tra xem đơn giá của thiết bị chính có bị dính ampere list hay không?,Xác nhận đơn giá đúng baseline.,PENDING,
LS_REGRESSION_PROTECTION,LS,5,AS-25E3-25H,MCCB/ELCB/Contactor LS AS-25E3-25H NH5 without In=ACC 2500A 85,cái,118000000,VND,MCCB/ELCB/Contactor LS,ACC 2500A 85,,3P,"AS-25E3-25H NH5 without ACC 2500A 85 118,000,000","Source PDF: Bang gia LS ap dung ngay 15-04-2026.pdf, Page: 5, Layout: split_half_left_right, Method: coordinate_column_profiler",Kiểm tra xem đơn giá của thiết bị chính có bị dính ampere list hay không?,Xác nhận đơn giá đúng baseline.,PENDING,
LS_REGRESSION_PROTECTION,LS,5,AS-63G3-63H,MCCB/ELCB/Contactor LS AS-63G3-63H AH6 In=6300A 120,cái,460000000,VND,MCCB/ELCB/Contactor LS,6300A 120,,3P,"AS-63G3-63H AH6 6300A 120 460,000,000","Source PDF: Bang gia LS ap dung ngay 15-04-2026.pdf, Page: 5, Layout: split_half_left_right, Method: coordinate_column_profiler",Kiểm tra xem đơn giá của thiết bị chính có bị dính ampere list hay không?,Xác nhận đơn giá đúng baseline.,PENDING,
